URL,PART_NO,ADAPTABLE_FOR,ORIG_PART_NO
https://www.industriehof.com/en/catalogue/c13/c1126/c2574/a652-C689R/,652-c689r,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1749/a14-28-25-22-3/,14-28-25-22-3,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2574/a652-C690L/,652-c690l,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2574/a652-C690R/,652-c690r,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1749/a14-28-25-22CE/,14-28-25-22ce,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1748/a14-28-28CE/,14-28-28ce,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1748/a14-28-28CE-2/,14-28-28ce-2,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1742/a14-28-25-22S3/,14-28-25-22s3,,
https://www.industriehof.com/en/catalogue/c13/c82/c866/c899/a652-C690L/,652-c690l,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2574/a652-C691L/,652-c691l,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1748/a14-28-27CE/,14-28-27ce,,
https://www.industriehof.com/en/catalogue/c13/c82/c880/c888/a652-C691L/,652-c691l,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1742/a14-28-25-22S2/,14-28-25-22s2,,
https://www.industriehof.com/en/catalogue/c13/c82/c866/c899/a652-C690R/,652-c690r,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1749/a14-28-30-22CE/,14-28-30-22ce,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2574/a652-C691R/,652-c691r,,
https://www.industriehof.com/en/catalogue/c13/c82/c880/c888/a652-C691R/,652-c691r,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1748/a14-28-30CE-1/,14-28-30ce-1,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2574/a652-C692L/,652-c692l,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1748/a14-28-30CE/,14-28-30ce,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c932/a14-28-28S/,14-28-28s,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c1748/a14-28-30CE-2/,14-28-30ce-2,,
https://www.industriehof.com/en/catalogue/c13/c189/c930/c932/a14-28-S/,14-28-s,,
https://www.industriehof.com/en/catalogue/c13/c82/c1029/c1034/c2581/a652-C691R/,652-c691r,"New Holland, Ford",
https://www.industriehof.com/en/catalogue/c13/c82/c1029/c1038/c2585/a652-C691R/,652-c691r,"New Holland, Ford",
https://www.industriehof.com/en/catalogue/c13/c189/c915/c919/a14-32-150/,14-32-150,,
https://www.industriehof.com/en/catalogue/c3/c12/c1874/a63-PRO-06/,63-pro-06,"Procomas, Lipco",", 601854"
https://www.industriehof.com/en/catalogue/c13/c189/c915/c919/a14-32-190/,14-32-190,,
https://www.industriehof.com/en/catalogue/c13/c1126/c2575/a652-C693L/,652-c693l,,
